Provider,LLM,Input cost per 1M tokens (USD),Output cost per 1M tokens (USD),"Cost per clause (USD, typical)",Category
Google,Gemini 2.5 Flash-Lite,0.1,0.4,0.0017,-
Alibaba (Qwen),qwen3.5-flash,0.1,0.4,0.0017,Chinese LLM
OpenAI,gpt-4o-mini,0.15,0.6,0.0025,-
DeepSeek,deepseek-flash (off-peak),0.15,0.6,0.0025,Chinese LLM
OpenAI,gpt-5.6-luna,0.2,1.2,0.0039,-
DeepSeek,deepseek-flash (peak),0.3,1.2,0.005,Chinese LLM
OpenAI,gpt-5-mini,0.25,2,0.0055,-
Google,Gemini 2.5 Flash,0.3,2.5,0.0067,-
Google,Gemini 3.5 Flash-Lite,0.3,2.5,0.0067,-
Zhipu AI (GLM),glm-4.6,0.43,1.74,0.0072,Chinese LLM
Alibaba (Qwen),qwen3.5-plus,0.4,2.4,0.0078,Chinese LLM
DeepSeek,deepseek-v4-pro (off-peak),0.66,1.98,0.0102,Chinese LLM
Google,Gemini 3.6 Flash,0.75,3.75,0.0136,-
OpenAI,gpt-5.4-mini,0.75,4.5,0.0146,-
Moonshot (Kimi),kimi-k2.7-code,0.95,4,0.0162,Chinese LLM
Moonshot (Kimi),kimi-k2.6,0.95,4,0.0162,Chinese LLM
xAI,grok-4.3,1.25,2.5,0.0177,-
Anthropic,Claude Haiku 4.5,1,5,0.0181,-
DeepSeek,deepseek-v4-pro (peak),1.32,3.96,0.0204,Chinese LLM
OpenAI,gpt-5,1.25,10,0.0275,-
Google,Gemini 2.5 Pro,1.25,10,0.0275,-
Google,Gemini 3.5 Flash,1.5,9,0.0291,-
xAI,grok-4.6,2,6,0.0309,-
xAI,grok-4.5,2,6,0.0309,-
Alibaba (Qwen),qwen3.8-max,2.0,6.0,0.0309,Chinese LLM
Anthropic,Claude Sonnet 5,2,10,0.0362,-
OpenAI,gpt-5.6-terra,2,12,0.0388,-
Google,Gemini 3.1 Pro Preview,2,12,0.0388,-
OpenAI,gpt-4o,2.5,10,0.042,-
OpenAI,gpt-5.4,2.5,15,0.0485,-
Anthropic,Claude Sonnet 4.6,3,15,0.0543,-
Moonshot (Kimi),kimi-k3,3,15,0.0543,Chinese LLM
OpenAI,gpt-5.6-sol,4,20,0.0724,-
Anthropic,Claude Opus 5,5,25,0.0905,-
OpenAI,gpt-5.5,5,30,0.097,-
Anthropic,Claude Fable 5.1,10,50,0.1809,-
OpenAI,gpt-6-astra,10,50,0.1809,-
